time_sec,distance_mm,range_status,signal_mcps,ambient_mcps,valid,distance_cm,,
0.051,653,0,30,1,0,44.3,,
0.105,656,0,31,1,0,44.6,,
0.174,658,0,19,0,0,44.8,,
0.244,661,0,19,0,0,45.1,,
0.314,664,0,15,0,0,45.4,,
0.384,660,0,19,0,0,45,,
0.453,659,0,19,0,0,44.9,,
0.523,664,0,15,0,0,45.4,,
0.593,665,0,15,0,0,45.5,,
0.662,661,0,19,0,0,45.1,,
0.732,655,0,19,0,0,44.5,,
0.802,655,0,19,0,0,44.5,,
0.871,657,0,15,0,0,44.7,,
0.941,656,0,19,0,0,44.6,,
1.011,655,0,15,0,0,44.5,,
1.08,658,0,15,0,0,44.8,,
1.15,658,0,15,0,0,44.8,,
1.22,658,0,15,0,0,44.8,,
1.289,652,0,20,0,0,44.2,,
1.359,651,0,20,0,0,44.1,,
1.429,654,0,16,0,0,44.4,,
1.499,651,0,16,0,0,44.1,,
1.568,645,0,17,0,0,43.5,,
1.638,643,0,16,0,0,43.3,,
1.707,642,0,16,0,0,43.2,,
1.777,639,0,17,0,0,42.9,,
1.847,637,0,16,0,0,42.7,,
1.917,633,0,16,0,0,42.3,,
1.986,628,0,17,0,0,41.8,,
2.056,623,0,17,0,0,41.3,,
2.125,616,0,18,0,0,40.6,,
2.195,615,0,18,0,0,40.5,,
2.265,608,0,18,0,0,39.8,,
2.334,601,0,19,0,0,39.1,,
2.404,589,0,20,0,0,37.9,,
2.474,581,0,20,0,0,37.1,,
2.543,573,0,19,0,0,36.3,,
2.613,571,0,19,0,0,36.1,,
2.682,568,0,18,0,0,35.8,,
2.752,566,0,18,0,0,35.6,,
2.822,563,0,18,0,0,35.3,,
2.892,566,0,18,0,0,35.6,,
2.961,572,0,17,0,0,36.2,,
3.031,572,0,18,0,0,36.2,,
3.1,572,0,17,0,0,36.2,,
3.17,571,0,17,0,0,36.1,,
3.24,572,0,17,0,0,36.2,,
3.31,573,0,17,0,0,36.3,,
3.379,572,0,17,0,0,36.2,,
3.449,574,0,19,0,0,36.4,,
3.518,576,0,19,0,0,36.6,,
3.589,574,0,19,0,0,36.4,,
3.658,576,0,19,0,0,36.6,,
3.728,576,0,18,0,0,36.6,,
3.797,577,0,19,0,0,36.7,,
3.867,575,0,19,0,0,36.5,,
3.937,573,0,19,0,0,36.3,,
4.006,571,0,17,0,0,36.1,,
4.076,571,0,19,0,0,36.1,,
4.146,568,0,19,0,0,35.8,,
4.215,564,0,18,0,0,35.4,,
4.285,558,0,18,0,0,34.8,,
4.356,544,0,19,0,0,33.4,,
